x,y
-1.4522684656002,-0.3825416239233058
-1.46222165541276,-0.3844053366551145
-1.5275262873643216,-0.40581863256963824
-1.5874044867926784,-0.42121469632051084
-1.6266238985785868,-0.46539196867228955
-1.649209951530186,-0.5129935750095738
-1.6321829593590058,-0.5847541974312183
-1.6405171774134768,-0.6177560308112426
-1.5971745987686632,-0.655727472971863
-1.564942175068113,-0.6675334860763202
-1.5476015036546649,-0.6597632298206088
-1.5275581474585322,-0.6546847612420399
-1.5306318233791985,-0.6563287639016022
-1.5350885938591425,-0.6524227355429367
-1.5423067701140585,-0.6594044505820269
-1.545516856580648,-0.6615311793488081
-1.5476067634392159,-0.6574824463572051
-1.5390496861669698,-0.6748398573258377
-1.5004074935400684,-0.7183601522907205
-1.4569274510813337,-0.7440605032762484
Total distance: 0.76 m
